Drug Reaction,Pratikula ausadha pratikriye (ADR) ausadhiyannu tegedukolluvudarinda untaguva gayavagide. ADR galu ondu ausadhada ondu dos athava dirghavadhiya adalitada nantara sambhavisabahudu athava eradu athava heccina ausadhigala sanyojaneyinda untagabahudu.
Malaria,Anaphilis solleya kaccuvikeyinda athava kalusita suji athava raktapuranadinda haradabahudada plasmodiyam kutumbadinda protojovan paravalambigalinda untaguva sankramika roga. Phalsipyaram maleriya atyanta maranantika vidhavagide.
Allergy,"Alarjiyu nim'ma dehakke saman'yavagi hanikarakavallada videsi vastuvige pratiraksana vyavastheya pratikriyeyagide. Avugalu kelavu aharagalu, paraga athava sakupranigala dyandar annu olagondirabahudu. Nim'ma pratiraksana vyavastheya kelasavu hanikaraka rogakarakagala virud'dha horaduva mulaka nim'mannu arogyavagirisuvudu."
Hypothyroidism,"Haipothairaydisam annu andar'aktiv thairayd athava kadime thairayd endu kareyuttare, idu antahsravaka vyavastheya asvasthateyagiddu, idaralli thairayd granthiyu sakastu thairayd harmon annu utpadisuvudilla."
Psoriasis,"Soriyasis ondu saman'ya carmada kayileyagiddu adu belliya mapakagalinda muccida dappa, kempu, negeyuva tepegalannu rupisuttade. Avaru elli bekadaru pap ap madabahudu, adare heccinavu netti, monakaigalu, monakalugalu mattu kela bennina mele kanisikolluttave. Soriyasis vyaktiyinda vyaktige haradalu sadhyavilla. Idu kelavom'me onde kutumbada sadasyaralli sambhavisuttade."
GERD,"Gyastrosophejil riphlaks kayile, athava GERD, annanala mattu hotteya naduvina snayuvina unguravada kela annanalada spinktar (LES) mele parinama biruva jirnakari asvasthateyagide. Garbhiniyaru seridante aneka janaru GERD yinda untaguva edeyuri athava amla ajirnadinda balaluttiddare."
Chronic cholestasis,"Saisavavastheyalli, balyadalli athava praudhavastheyalli sambhavisuva dirghakalada kolestatik kayilegalu yakr?ttininda karulinavarege dosayukta pittarasa amlada saganeyinda nirupisalpaduttave, idu heccina sandarbhagalalli pittarasada epithiliyange prathamika haniyinda untaguttade."
hepatitis A,Hepataitis e embudu hepataitis e vairas?ninda untaguva heccu sankramika pittajanakangada sonku. Vairas uriyutavannu untumaduva mattu nim'ma yakr?ttina karya samarthyada mele parinama biruva halavaru ritiya hepataitis vairas?galalli ondagide.
Osteoarthristis,"Asthisandhivatavu sandhivatada atyanta saman'ya rupavagide, idu prapan?cadadyanta laksantara janara mele parinama biruttade. Nim'ma mulegala tudigalannu mettisuva raksanatmaka kartilej kalanantaradalli dharisidaga idu sambhavisuttade."
(vertigo) Paroymsal  Positional Vertigo,Benign pyaroksismal posisanal vartigo (BPPV) taletiruguvikege saman'ya karanagalalli ondagide - nivu tiruguttiruviri athava nim'ma taleya olabhagavu suttuttiruva hathat sanvedane. Benign pyaroksismal posisanal vartigovu saumyadinda tivravada taletiruguvikeya sanksipta kantugalannu untumaduttade.
Hypoglycemia,Haipoglisimiya ennuvudu nim'ma raktadallina sakkare (glukos) mattavu saman'yakkinta kadime iruva sthitiyagide. Glukos nim'ma dehada mukhya saktiya mulavagide. Haipoglisimiya heccagi madhumeha cikitsege sambandhiside. Adare itara ausadhigalu mattu vividha paristhitigalu - aneka aparupada - madhumehavannu hondirada janaralli kadime raktada sakkareyannu untumadabahudu.
Acne,"Modave valgyaris embudu pailosbasiyas ghatakagala (kudalu kirucilagalu mattu avugala jotegina sebasiyas granthi) adacane mattu uriyutada parinamavagi kamedon'galu, papulgalu, pastalgalu, gantugalu mattu/athava cilagala racaneyagide. Mukha mattu melina kandada mele modavegalu beleyuttave. Idu heccagi hadihareyadavara mele parinama biruttade."
Diabetes,"Madhumehavu nim'ma raktadallina glukos annu raktadallina sakkare endu kareyuttare, idu tumba heccadaga untaguva kayileyagide. Raktadallina glukos nim'ma saktiya mukhya mulavagide mattu nivu tinnuva aharadinda baruttade. Medojjiraka granthiyinda utpattiyaguva harmon insulin, aharadinda glukos annu saktigagi balasalu nim'ma jivakosagalige sahaya maduttade."
Impetigo,"Impetigo (im-puh-TIE-go) ondu saman'ya mattu heccu sankramika carmada sonku, idu mukhyavagi sisugalu mattu makkala mele parinama biruttade. Impetigo saman'yavagi mukhada mele, visesavagi maguvina mugu mattu bayiya suttalu mattu kai mattu kalugala mele kempu hunnugalagi kanisikolluttade. Hunnugalu odedu jenu-bannada krastgalannu abhivr?d'dhipadisuttave."
Hypertension,"Adhika raktadottada (HTN athava HT), idannu adhika raktadottada (HBP) endu kareyuttare, idu dirghakalada vaidyakiya sthitiyagiddu, idaralli apadhamanigalallina raktadottadavu nirantaravagi heccaguttade. Adhika raktadottadavu saman'yavagi rogalaksanagalannu untumaduvudilla."
Peptic ulcer diseae,"Jathara hunnu roga (PUD) hotteya olagina olapadaradalli, sanna karulina modala bhaga athava kelavom'me kela annanaladalli odeyuttade. Hotteyallina hunnannu gyastrik alsar endu kareyalaguttade, adare karulina modala bhagadalli ondu dyuvodenal alsar agide."
Dimorphic hemorrhoids(piles),"Hemorrhoids endu saha uccarisalaguttade, guda kaluveyalli naliya racanegalu. Avara... Itara hesarugalalli, hemoroyids, pails, hemorohayidal kayile."
Common Cold,"Saman'ya sitavu nim'ma mugu mattu gantalina (melbhagada svasendriya pradesa) vairal sonku. Idu saman'yavagi nirupadravavagide, adaru adu hage bhavisadirabahudu. Aneka vidhada vairasgalu saman'ya sitavannu untumadabahudu."
Chicken pox,"Cikanpaks varisella-jostar vairas (VZV) ninda untaguva heccu sankramika rogavagide. Idu turike, gullegalantaha dadduge karanavagabahudu. Daddu modalu ede, bennu mattu mukhada mele kanisikolluttade, mattu nantara idi dehada mele haraduttade, idu 250 rinda 500 turike gullegalannu untumaduttade."
Cervical spondylosis,"Sarvikal spandilosis embudu nim'ma kuttigeyalliruva bennumuleya diskgala mele parinama biruva vayas'sige sambandhisida uduge mattu kannirina saman'ya padavagide. Disk?galu nirjalikarana mattu sankucitagolluttiddante, mulegala an?cugala uddakku elubina praksepagalu (mule spars) seridante asthisandhivatada cihnegalu abhivr?d'dhigolluttave."
Hyperthyroidism,"Nim'ma thairayd granthiyu thairaksin emba harmon annu heccu utpadisidaga haipar thairaydisam (atiyada thairayd) sambhavisuttade. Haipar thairaydisam nim'ma dehada cayapacayavannu vegagolisuttade, idu uddesapurvakavallada tuka nasta mattu tvarita athava aniyamita hr?daya baditavannu untumaduttade."
Urinary tract infection,"Mutranalada sonku: Mutrapinda, mutranala, mutrakosa athava mutranalada sonku. Sanksipta UTI. UTI hondiruva pratiyobbaru rogalaksanagalannu hondiruvudilla, adare saman'ya rogalaksanagalu mutra visarjisalu agagge pracodane mattu mutra visarjisuvaga novu athava suduvikeyannu olagondiruttade."
Varicose veins,"Vistarisida mattu tirucida abhidhamani, agagge ubbuva, nili raktanalavagi kanisikolluttade, adu carmada mulaka spastavagi gocarisuttade. Ubbiruva raktanalagalu vayas'sada vayaskaralli, visesavagi mahileyaralli heccagi kandubaruttave mattu visesavagi kalugala mele kandubaruttave."
AIDS,"Svadhinapadisikonda imyuno diphisiyansi sindrom (AIDS) manava imyuno diphisiyansi vairas (HIV) ninda untaguva dirghakalada, sambhavya maranantika sthitiyagide. Nim'ma pratiraksana vyavastheyannu halumaduva mulaka, sonku mattu rogada virud'dha horaduva nim'ma dehada samarthyavannu HIV addipadisuttade."
Paralysis (brain hemorrhage),"Intraserebral hemarej (ICH) endare raktavu iddakkiddante medulina angansakke sidiyuttade, idu nim'ma medulige haniyaguttade. ICH samayadalli rogalaksanagalu saman'yavagi iddakkiddante kanisikolluttave. Avugalalli talenovu, daurbalya, gondala mattu parsvavayu serive, visesavagi nim'ma dehada ondu bhagadalli."
Typhoid,"Byaktiriyam salmonella taiphi sonkininda untaguva jvaradinda nirupisalpatta tivravada kayile. Jvara, talenovu, malabad'dhate, asvasthate, sita mattu snayu novinondige taiphayid jvaravu kapata akramanavannu hondide. Atisaravu asaman'yavagide mattu vanti saman'yavagi tivravagiruvudilla."
Hepatitis B,"Hepataitis b nim'ma yakr?ttina sonku. Idu angada gurutu, yakr?ttina vaiphalya mattu kyansarge karanavagabahudu. Cikitse nidadiddare adu marakavagabahudu. Hepataitis bi vairas hondiruva vyaktiya rakta, tereda hunnugalu athava dehada dravagalondige janaru samparkakke bandaga idu haraduttade."
Fungal infection,"Manavaralli, akramanakari silindhravu dehada pradesavannu akramisikondaga mattu pratiraksana vyavastheyu nibhayisalu tumba heccadaga silindhragala sonku sambhavisuttade. Silindhragalu gali, mannu, niru mattu sasyagalalli badukaballavu. Manava dehadalli naisargikavagi vasisuva kelavu silindhragalu saha ive. Aneka suksmajivigalante, sahayaka silindhragalu mattu hanikaraka silindhragalu ive."
Hepatitis C,"Hepataitis C vairas (HCV) nindagi yakr?ttina uriyuta, idu saman'yavagi rakta vargavane (aparupada), himodayalisis mattu suji kaddigala mulaka haraduttade. Hepataitis si yakr?ttige maduva haniyu sirosis mattu adara todakugalu mattu kyansarge karanavagabahudu."
Migraine,"Maigren saman'yavagi taleya ondu badiyalli tivravada throbing novu athava nadi sanvedaneyannu untumadabahudu. Idu saman'yavagi vakarike, vanti mattu belaku mattu dhvanige tivravada sanvedaneyondige iruttade. Maigren daliyu gantegalinda dinagalavarege iruttade mattu novu tumba tivravagiruttade mattu adu nim'ma dainandina catuvatikegalige addipadisuttade."
Bronchial Asthma,"Svasanalada astamavu vaidyakiya sthitiyagiddu, svasakosada vayumargavu udikollalu mattu kiridaguvante maduttade. I utadindagi, galiya margavu heccuvari loleyannu utpadisuttade, idu usiradalu kastavaguttade, idu kem'muvike, sanna usirata mattu ubbasakke karanavaguttade. Rogavu dirghakalada mattu dainandina kelasadalli hastaksepa maduttade."
Alcoholic hepatitis,"Alkohalyukta hepataitis ondu rogagrasta, yakr?ttina uriyutada sthitiyagiddu, dirghakaladavarege atiyada alkohal sevaneyinda untaguttade. Idu atiyagi kudiyuva mattu nadeyuttiruva madyada balakeyinda ulbanagolluttade. Nivu i sthitiyannu abhivr?d'dhipadisidare, nivu alkohal kudiyuvudannu nillisabeku"
Jaundice,"Pittarasa varnadravyada bailirubin?na asahajavagi adhika raktada mattagalinda carma mattu sklera (kannina bilibhaga) haladi kalegalu. Haladi bannavu itara angansagalu mattu dehada dravagalige vistarisuttade. Kamaleyannu om'me""morbas rejiyas"" (rigal kayile) endu kareyalaguttittu, rajana sparsadinda matra adannu gunapadisabahudu"
Hepatitis E,Hepataitis i vairas (HEV) sonkininda untaguva yakr?ttina uriyutada aparupada rupa. Idu sonkita vyaktiyinda nirvahisalpaduva ahara athava paniyada mulaka athava malavu nirinalli serabahudada pradesagalalli sonkita niru sarabarajugala mulaka haraduttade. Hepataitis i dirghakalada yakr?ttina kayilege karanavaguvudilla.
Dengue,"Phlavivairas?ninda untaguva tivravada sankramika roga (phlevivairas kulada dengyu vairas) idis sollegalinda haraduttade mattu talenovu, tivravada kilu novu mattu daddugalinda nirupisalpattide. Idannu mule murita, dengyu jvara endu kareyuttare."
Hepatitis D,"Hepataitis di annu hepataitis delta vairas endu kareyuttare, idu yakruttu uriyutakke karanavaguva sonku. I utavu yakr?ttina karyavannu durbalagolisuttade mattu yakruttina gurutu mattu kyansar seridante dirghakalada yakr?ttina samasyegalannu untumaduttade. I sthitiyu hepataitis di vairas (HDV) ninda untaguttade."
Heart attack,Rakta puraikeya nastadindagi hr?daya snayuvina savu. Rakta puraikeya nastavu saman'yavagi hrdaya snayuvige raktavannu puraisuva apadhamanigalalli ondada paridhamaniya sampurna tadegattuvikeyinda untaguttade.
Pneumonia,"N'yumoniya ondu athava eradu svasakosagalalli sonku. Byaktiriya, vairas?galu mattu silindhragalu idakke karanavaguttave. Sonku nim'ma svasakosadallina galiya cilagalalli uriyutavannu untumaduttade, idannu alviyoli endu kareyalaguttade. Alviyoli drava athava kivu tumbuttade, usiradalu kastavaguttade."
Arthritis,"Sandhivatavu nim'ma ondu athava heccina kilugala uta mattu mrdutvavagide. Sandhivatada mukhya laksanagalendare kilu novu mattu bigita, idu saman'yavagi vayas'sadante hadageduttade. Sandhivatada saman'ya vidhagalendare asthisandhivata mattu sandhivata."
Gastroenteritis,"Gyastro'entaraitis ennuvudu jirnangavyuhada uriyutavagide, visesavagi hotte mattu dodda mattu sanna karulu. Vairal mattu byaktiriyada gyastro'entaraitis atisara, kibbotteya seleta, vakarike mattu vantiya laksanagalige sambandhisida karulina sonkugalu."
Tuberculosis,"Ksayaroga (tibi) saman'yavagi maikobyaktiriyam tyubarkyulosis (entibi) byaktiriyadinda untaguva sankramika kayileyagide. Ksayarogavu saman'yavagi svasakosada mele parinama biruttade, adare dehada itara bhagagala mele parinama biruttade. Heccina sonkugalu yavude rogalaksanagalannu torisuvudilla, ee sandarbhadalli idannu supta ksayaroga endu kareyalaguttade."

